year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,6,30,940,15,1216,-4,VX,N626VA,407,JFK,LAX,313,2475,9,40
2013,5,7,1657,-3,2104,10,DL,N3760C,329,JFK,SJU,216,1598,16,57
2013,12,8,859,-1,1238,11,DL,N712TW,422,JFK,LAX,376,2475,8,59
2013,5,14,1841,-4,2122,-34,DL,N914DL,2391,JFK,TPA,135,1005,18,41
2013,7,21,1102,-3,1230,-8,9E,N823AY,3652,LGA,ORF,50,296,11,2
2013,1,1,1817,-3,2008,3,AA,N3AXAA,353,LGA,ORD,138,733,18,17
2013,12,9,1259,14,1617,22,WN,N218WN,1428,EWR,HOU,240,1411,12,59
2013,8,13,1920,85,2032,71,B6,N284JB,1407,JFK,IAD,48,228,19,20
2013,9,26,725,-10,1027,-8,AA,N3FSAA,2279,LGA,MIA,148,1096,7,25
2013,4,30,1323,62,1549,60,EV,N12163,4162,EWR,JAX,110,820,13,23
2013,6,17,940,5,1050,-4,B6,N351JB,20,JFK,ROC,50,264,9,40
2013,11,22,1320,5,1628,-2,B6,N526JB,1639,LGA,RSW,161,1080,13,20
2013,4,26,809,-2,1030,22,EV,N16559,5790,EWR,DAY,87,533,8,9
2013,3,25,2054,115,2256,91,FL,N919AT,645,LGA,ATL,104,762,20,54
2013,10,21,1217,-4,1322,-6,B6,N192JB,34,JFK,BTV,46,266,12,17
2013,1,23,2024,37,2141,29,EV,N17115,4412,EWR,BUF,53,282,20,24
2013,2,8,644,-1,817,20,EV,N14916,4241,EWR,DCA,45,199,6,44
2013,8,5,757,-3,1041,-23,DL,N380DA,1271,JFK,FLL,131,1069,7,57
2013,10,21,859,-1,1036,11,UA,N57852,1030,EWR,ORD,121,719,8,59
2013,8,18,1638,8,1942,-17,VX,N849VA,27,JFK,SFO,334,2586,16,38
2013,11,5,1126,11,1257,5,EV,N600QX,5273,LGA,PIT,58,335,11,26
2013,1,15,1626,-3,1941,10,B6,N594JB,369,LGA,PBI,150,1035,16,26
2013,2,1,729,9,1018,-5,UA,N36247,1724,EWR,PBI,154,1023,7,29
2013,7,7,2310,105,201,127,B6,N506JB,97,JFK,DEN,223,1626,23,10
2013,1,17,626,-4,846,3,US,N554UW,1433,LGA,CLT,105,544,6,26
2013,8,16,1251,-4,1433,-7,MQ,N720MQ,3388,LGA,CMH,83,479,12,51
